จังหวัด,เขตเลือกตั้งที่,ลำดับคะแนน,พรรคการเมือง,คะแนนเสียง,คะแนนเสียง(ร้อยละ),ผู้มาใช้สิทธิ์,ร้อยละผู้มาใช้สิทธิ์,บัตรดี,บัตรเสีย,บัตรไม่เลือกผู้ใด,หน่วยเลือกตั้งที่นับเสร็จ,ร้อยละที่นับเสร็จแล้ว,หยุดอัพเดต,,,Last Update:
กรุงเทพมหานคร,10,8,ไทยสร้างไทย,1078,1.24767,90689,65.39113,86401,1676,2612,178,94.68085,FALSE,,,
กรุงเทพมหานคร,10,9,โอกาสใหม่,925,1.07059,90689,65.39113,86401,1676,2612,178,94.68085,FALSE,,,
กรุงเทพมหานคร,10,10,ไทยก้าวใหม่,726,0.84027,90689,65.39113,86401,1676,2612,178,94.68085,FALSE,,,
กรุงเทพมหานคร,11,1,ประชาชน,42627,46.84955,95046,69.21548,90987,1664,2395,185,94.87179,FALSE,,,
กรุงเทพมหานคร,11,2,ภูมิใจไทย,17545,19.28297,95046,69.21548,90987,1664,2395,185,94.87179,FALSE,,,
กรุงเทพมหานคร,11,3,เพื่อไทย,13981,15.36593,95046,69.21548,90987,1664,2395,185,94.87179,FALSE,,,
กรุงเทพมหานคร,11,4,ประชาธิปัตย์,6019,6.61523,95046,69.21548,90987,1664,2395,185,94.87179,FALSE,,,
กรุงเทพมหานคร,11,5,เศรษฐกิจ,2011,2.21021,95046,69.21548,90987,1664,2395,185,94.87179,FALSE,,,
กรุงเทพมหานคร,11,6,รวมไทยสร้างชาติ,1970,2.16514,95046,69.21548,90987,1664,2395,185,94.87179,FALSE,,,
กรุงเทพมหานคร,11,7,ไทยภักดี,1085,1.19248,95046,69.21548,90987,1664,2395,185,94.87179,FALSE,,,
กรุงเทพมหานคร,11,8,ไทยสร้างไทย,779,0.85617,95046,69.21548,90987,1664,2395,185,94.87179,FALSE,,,
กรุงเทพมหานคร,11,9,ไทยก้าวใหม่,571,0.62756,95046,69.21548,90987,1664,2395,185,94.87179,FALSE,,,
กรุงเทพมหานคร,11,10,พลวัต,544,0.59789,95046,69.21548,90987,1664,2395,185,94.87179,FALSE,,,
กรุงเทพมหานคร,12,1,ประชาชน,46787,48.37066,100578,70.26155,96726,1412,2440,181,94.7644,FALSE,,,
กรุงเทพมหานคร,12,2,ภูมิใจไทย,17405,17.99413,100578,70.26155,96726,1412,2440,181,94.7644,FALSE,,,
กรุงเทพมหานคร,12,3,เพื่อไทย,12011,12.41755,100578,70.26155,96726,1412,2440,181,94.7644,FALSE,,,
กรุงเทพมหานคร,12,4,ประชาธิปัตย์,8909,9.21055,100578,70.26155,96726,1412,2440,181,94.7644,FALSE,,,
กรุงเทพมหานคร,12,5,รวมไทยสร้างชาติ,2063,2.13283,100578,70.26155,96726,1412,2440,181,94.7644,FALSE,,,
